   1.60 keV   6.120E-02  6.796E-02      79 A       120 A        88 A
   1.70 keV   6.308E-02  6.910E-02      83 A       124 A        91 A
   1.80 keV   6.491E-02  7.016E-02      86 A       129 A        94 A
   2.00 keV   6.842E-02  7.210E-02      93 A       137 A       100 A
   2.25 keV   7.257E-02  7.424E-02     101 A       147 A       108 A
   2.50 keV   7.650E-02  7.611E-02     109 A       157 A       115 A
   2.75 keV   8.023E-02  7.776E-02     116 A       166 A       122 A
   3.00 keV   8.380E-02  7.923E-02     124 A       175 A       129 A
   3.25 keV   8.722E-02  8.055E-02     132 A       184 A       135 A
   3.50 keV   9.051E-02  8.174E-02     139 A       192 A       142 A
   3.75 keV   9.369E-02  8.282E-02     146 A       201 A       148 A
   4.00 keV   9.676E-02  8.379E-02     154 A       209 A       154 A
   4.50 keV   1.026E-01  8.550E-02     168 A       225 A       166 A
   5.00 keV   1.082E-01  8.693E-02     183 A       241 A       178 A
   5.50 keV   1.135E-01  8.814E-02     197 A       256 A       189 A
   6.00 keV   1.185E-01  8.917E-02     211 A       271 A       200 A
   6.50 keV   1.233E-01  9.005E-02     225 A       285 A       211 A
   7.00 keV   1.280E-01  9.080E-02     238 A       299 A       221 A
   8.00 keV   1.368E-01  9.200E-02     266 A       326 A       242 A
   9.00 keV   1.451E-01  9.288E-02     293 A       352 A       262 A
  10.00 keV   1.530E-01  9.351E-02     320 A       378 A       282 A
  11.00 keV   1.605E-01  9.395E-02     346 A       403 A       300 A
  12.00 keV   1.676E-01  9.424E-02     373 A       427 A       319 A
  13.00 keV   1.744E-01  9.440E-02     399 A       450 A       337 A
  14.00 keV   1.810E-01  9.447E-02     425 A       473 A       354 A
  15.00 keV   1.874E-01  9.445E-02     452 A       495 A       372 A
  16.00 keV   1.935E-01  9.437E-02     478 A       517 A       389 A
  17.00 keV   1.995E-01  9.423E-02     504 A       539 A       405 A
  18.00 keV   2.053E-01  9.404E-02     530 A       560 A       422 A
  20.00 keV   2.164E-01  9.356E-02     582 A       601 A       454 A
  22.50 keV   2.295E-01  9.280E-02     646 A       650 A       493 A
  25.00 keV   2.438E-01  9.192E-02     711 A       698 A       531 A
  27.50 keV   2.593E-01  9.097E-02     774 A       744 A       567 A
  30.00 keV   2.732E-01  8.997E-02     837 A       787 A       602 A
  32.50 keV   2.860E-01  8.895E-02     900 A       829 A       636 A
  35.00 keV   2.977E-01  8.791E-02     962 A       870 A       669 A
  37.50 keV   3.088E-01  8.687E-02    1024 A       910 A       702 A
  40.00 keV   3.192E-01  8.584E-02    1086 A       948 A       733 A
  45.00 keV   3.386E-01  8.380E-02    1211 A      1021 A       794 A
  50.00 keV   3.565E-01  8.182E-02    1334 A      1091 A       853 A
  55.00 keV   3.733E-01  7.991E-02    1458 A      1159 A       909 A
  60.00 keV   3.892E-01  7.809E-02    1581 A      1223 A       964 A
  65.00 keV   4.045E-01  7.634E-02    1703 A      1285 A      1017 A
  70.00 keV   4.192E-01  7.468E-02    1825 A      1344 A      1069 A
  80.00 keV   4.474E-01  7.157E-02    2068 A      1456 A      1168 A
  90.00 keV   4.741E-01  6.873E-02    2309 A      1561 A      1263 A
 100.00 keV   4.999E-01  6.614E-02    2547 A      1659 A      1353 A
 110.00 keV   5.248E-01  6.376E-02    2782 A      1752 A      1439 A
 120.00 keV   5.490E-01  6.158E-02    3014 A      1839 A      1521 A
 130.00 keV   5.726E-01  5.956E-02    3243 A      1921 A      1600 A
 140.00 keV   5.956E-01  5.769E-02    3469 A      1998 A      1675 A
